task,protocol,seed,fold,d,n_train,n_test,train_acc,test_acc,w_norm,explained_var
imagery_left_right_fist,run_disjoint,20260916,run1,64,3269,1629,0.557357,0.560467,0.451226,0.888443
imagery_left_right_fist,run_disjoint,20260916,run1,128,3269,1629,0.672071,0.643953,3.76448,0.924898
imagery_left_right_fist,run_disjoint,20260916,run1,256,3269,1629,0.743958,0.70043,7.12168,0.942921
imagery_left_right_fist,run_disjoint,20260916,run1,512,3269,1629,0.785561,0.682014,9.84928,0.963725
imagery_left_right_fist,run_disjoint,20260916,run1,1024,3269,1629,0.851331,0.680172,15.5687,0.986401
imagery_left_right_fist,run_disjoint,20260916,run1,2080,3269,1629,0.944325,0.655617,22.7042,1
imagery_left_right_fist,run_disjoint,20260916,run2,2,3265,1633,0.501991,0.498469,0.0022639,0.626052
imagery_left_right_fist,run_disjoint,20260916,run2,4,3265,1633,0.508729,0.507042,0.0116937,0.659525
imagery_left_right_fist,run_disjoint,20260916,run2,8,3265,1633,0.516692,0.524189,0.0516252,0.704858
imagery_left_right_fist,run_disjoint,20260916,run2,16,3265,1633,0.520368,0.52725,0.10496,0.762506
imagery_left_right_fist,run_disjoint,20260916,run2,32,3265,1633,0.540888,0.535824,0.186224,0.82754
imagery_left_right_fist,run_disjoint,20260916,run2,64,3265,1633,0.555283,0.548683,0.385093,0.888917
imagery_left_right_fist,run_disjoint,20260916,run2,128,3265,1633,0.675345,0.656461,4.0283,0.924515
imagery_left_right_fist,run_disjoint,20260916,run2,256,3265,1633,0.745176,0.700551,7.31501,0.941956
imagery_left_right_fist,run_disjoint,20260916,run2,512,3265,1633,0.785299,0.704225,9.96152,0.962988
imagery_left_right_fist,run_disjoint,20260916,run2,1024,3265,1633,0.846861,0.673607,15.752,0.98607
imagery_left_right_fist,run_disjoint,20260916,run2,2080,3265,1633,0.949464,0.661359,22.8891,1
imagery_left_right_fist,subject_disjoint,20260916,subj0,2,3242,1656,0.504935,0.502415,0.000934998,0.622542
imagery_left_right_fist,subject_disjoint,20260916,subj0,4,3242,1656,0.514806,0.512681,0.0190272,0.659279
imagery_left_right_fist,subject_disjoint,20260916,subj0,8,3242,1656,0.524368,0.516908,0.042189,0.711456
imagery_left_right_fist,subject_disjoint,20260916,subj0,16,3242,1656,0.530537,0.521739,0.0832234,0.772811
