dataset,task,protocol,subject,n_test,acc_inductive,acc_transductive,delta
eegbci,imagery_left_right_fist,subject_disjoint,67,45,0.6,0.577778,-0.0222222
eegbci,imagery_left_right_fist,subject_disjoint,68,45,0.622222,0.622222,0
eegbci,imagery_left_right_fist,subject_disjoint,69,45,0.622222,0.622222,0
eegbci,imagery_left_right_fist,subject_disjoint,70,45,0.622222,0.622222,0
eegbci,imagery_left_right_fist,subject_disjoint,71,45,0.777778,0.777778,0
eegbci,imagery_left_right_fist,subject_disjoint,72,43,0.860465,0.860465,0
eegbci,imagery_left_right_fist,subject_disjoint,73,42,0.809524,0.809524,0
eegbci,imagery_left_right_fist,subject_disjoint,74,43,0.511628,0.511628,0
eegbci,imagery_left_right_fist,subject_disjoint,75,45,0.577778,0.577778,0
eegbci,imagery_left_right_fist,subject_disjoint,76,42,0.547619,0.547619,0
eegbci,imagery_left_right_fist,subject_disjoint,77,45,0.533333,0.511111,-0.0222222
eegbci,imagery_left_right_fist,subject_disjoint,78,45,0.488889,0.488889,0
eegbci,imagery_left_right_fist,subject_disjoint,79,45,0.622222,0.622222,0
eegbci,imagery_left_right_fist,subject_disjoint,80,45,0.555556,0.555556,0
eegbci,imagery_left_right_fist,subject_disjoint,81,45,0.488889,0.488889,0
eegbci,imagery_left_right_fist,subject_disjoint,82,45,0.622222,0.6,-0.0222222
eegbci,imagery_left_right_fist,subject_disjoint,83,45,0.488889,0.488889,0
eegbci,imagery_left_right_fist,subject_disjoint,84,45,0.555556,0.533333,-0.0222222
eegbci,imagery_left_right_fist,subject_disjoint,85,45,0.866667,0.888889,0.0222222
eegbci,imagery_left_right_fist,subject_disjoint,86,45,0.711111,0.711111,0
eegbci,imagery_left_right_fist,subject_disjoint,87,45,0.6,0.6,0
eegbci,imagery_left_right_fist,subject_disjoint,88,57,0.578947,0.561404,-0.0175439
eegbci,imagery_left_right_fist,subject_disjoint,89,45,0.622222,0.644444,0.0222222
eegbci,imagery_left_right_fist,subject_disjoint,90,45,0.622222,0.622222,0
eegbci,imagery_left_right_fist,subject_disjoint,91,45,0.533333,0.533333,0
eegbci,imagery_left_right_fist,subject_disjoint,92,57,0.596491,0.596491,0
eegbci,imagery_left_right_fist,subject_disjoint,93,45,0.755556,0.777778,0.0222222
eegbci,imagery_left_right_fist,subject_disjoint,94,45,0.711111,0.711111,0
eegbci,imagery_left_right_fist,subject_disjoint,95,45,0.511111,0.511111,0
eegbci,imagery_left_right_fist,subject_disjoint,96,45,0.622222,0.6,-0.0222222
eegbci,imagery_left_right_fist,subject_disjoint,97,45,0.533333,0.533333,0
eegbci,imagery_left_right_fist,subject_disjoint,98,45,0.6,0.622222,0.0222222
eegbci,imagery_left_right_fist,subject_disjoint,99,45,0.533333,0.533333,0
eegbci,imagery_left_right_fist,subject_disjoint,100,36,0.5,0.5,0
eegbci,imagery_left_right_fist,subject_disjoint,101,45,0.488889,0.488889,0
eegbci,imagery_left_right_fist,subject_disjoint,102,42,0.547619,0.52381,-0.0238095
eegbci,imagery_left_right_fist,subject_disjoint,103,45,0.533333,0.533333,0
eegbci,imagery_left_right_fist,subject_disjoint,104,42,0.404762,0.404762,0
eegbci,imagery_left_right_fist,subject_disjoint,105,45,0.644444,0.644444,0
eegbci,imagery_left_right_fist,subject_disjoint,106,45,0.488889,0.488889,0
eegbci,imagery_left_right_fist,subject_disjoint,107,45,0.555556,0.555556,0
eegbci,imagery_left_right_fist,subject_disjoint,108,45,0.6,0.6,0
eegbci,imagery_left_right_fist,subject_disjoint,109,45,0.511111,0.511111,0
eegbci,real_left_right_fist,subject_disjoint,1,45,0.644444,0.644444,0
eegbci,real_left_right_fist,subject_disjoint,2,45,0.733333,0.733333,0
eegbci,real_left_right_fist,subject_disjoint,3,45,0.622222,0.622222,0
eegbci,real_left_right_fist,subject_disjoint,4,45,0.666667,0.666667,0
