dataset,task,model,preproc,protocol,seed,subject,n_test,accuracy
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,5,288,0.548611
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,6,288,0.559028
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,7,288,0.555556
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,8,288,0.461806
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,9,288,0.53125
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260916,1,288,0.798611
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260916,2,288,0.548611
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260916,3,288,0.895833
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260916,4,288,0.680556
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260916,5,288,0.5
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260916,6,288,0.684028
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260916,7,288,0.569444
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260916,8,288,0.927083
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260916,9,288,0.857639
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260917,1,288,0.798611
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260917,2,288,0.569444
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260917,3,288,0.90625
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260917,4,288,0.670139
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260917,5,288,0.559028
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260917,6,288,0.65625
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260917,7,288,0.614583
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260917,8,288,0.923611
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260917,9,288,0.854167
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260918,1,288,0.767361
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260918,2,288,0.579861
