dataset,task,model,protocol,n_subjects,n_seeds,mean_acc,ci_low,ci_high,sd_subjects,sd_across_seeds
eegbci,real_fists_feet,shallow_fbcsp,subject_disjoint,109,3,0.695171,0.67441,0.716786,0.110583,0.00563843
eegbci,real_fists_feet,shallow_fbcsp,trial_random,109,3,0.730516,0.710201,0.751007,0.111968,0.00846519
eegbci,real_fists_feet,shallow_fbcsp,within_subject,109,1,0.638122,0.611736,0.664932,0.143584,
eegbci,real_fists_feet,shallow_fbcsp_globalscale,run_disjoint,109,1,0.770973,0.748023,0.794939,0.124588,
eegbci,real_fists_feet,shallow_fbcsp_globalscale,subject_disjoint,109,1,0.719969,0.692222,0.748881,0.145639,
eegbci,real_fists_feet,shallow_fbcsp_globalscale,trial_random,109,1,0.7687,0.744553,0.794537,0.130038,
eegbci,real_left_right_fist,csp_lda,run_disjoint,109,1,0.589439,0.573395,0.604537,0.0864847,
eegbci,real_left_right_fist,csp_lda,subject_disjoint,109,5,0.580865,0.5682,0.593669,0.0721106,0.00782545
eegbci,real_left_right_fist,csp_lda,trial_random,109,5,0.554777,0.543482,0.566095,0.0606296,0.0046856
eegbci,real_left_right_fist,csp_lda,within_subject,109,1,0.653327,0.63128,0.677334,0.124898,
eegbci,real_left_right_fist,csp_lda_ztrial,run_disjoint,109,1,0.603859,0.587164,0.620547,0.0893842,
eegbci,real_left_right_fist,csp_lda_ztrial,subject_disjoint,109,5,0.602695,0.586947,0.617945,0.0822179,0.00418934
eegbci,real_left_right_fist,csp_lda_ztrial,trial_random,109,5,0.5663,0.553229,0.578966,0.0704495,0.0109033
eegbci,real_left_right_fist,eegnet_v4,run_disjoint,109,3,0.793714,0.774629,0.812701,0.103736,0.0063651
eegbci,real_left_right_fist,eegnet_v4,subject_disjoint,109,3,0.77028,0.74922,0.790775,0.112039,0.00803219
eegbci,real_left_right_fist,eegnet_v4,trial_random,109,3,0.77977,0.759059,0.80029,0.113145,0.0144384
eegbci,real_left_right_fist,eegnet_v4,within_subject,109,1,0.518818,0.505924,0.532515,0.0703275,
eegbci,real_left_right_fist,eegnet_v4_globalscale,run_disjoint,109,1,0.805866,0.786797,0.824679,0.104042,
eegbci,real_left_right_fist,eegnet_v4_globalscale,subject_disjoint,109,1,0.79265,0.771303,0.815464,0.121719,
eegbci,real_left_right_fist,eegnet_v4_globalscale,trial_random,109,1,0.805556,0.784919,0.825269,0.108556,
eegbci,real_left_right_fist,riemann_ts_lr,run_disjoint,109,1,0.710297,0.690284,0.729261,0.108074,
eegbci,real_left_right_fist,riemann_ts_lr,subject_disjoint,109,5,0.640728,0.62224,0.658957,0.0971262,0.00650956
eegbci,real_left_right_fist,riemann_ts_lr,trial_random,109,5,0.712923,0.69305,0.731729,0.106816,0.00862777
eegbci,real_left_right_fist,riemann_ts_lr,within_subject,109,1,0.694407,0.672535,0.7179,0.121037,
eegbci,real_left_right_fist,riemann_ts_lr_ztrial,run_disjoint,109,1,0.682887,0.662732,0.701686,0.107493,
eegbci,real_left_right_fist,riemann_ts_lr_ztrial,subject_disjoint,109,5,0.619905,0.603349,0.636582,0.088963,0.00673948
eegbci,real_left_right_fist,riemann_ts_lr_ztrial,trial_random,109,5,0.682794,0.663061,0.70143,0.103003,0.00733359
eegbci,real_left_right_fist,shallow_fbcsp,run_disjoint,109,3,0.71392,0.696623,0.73065,0.0927642,0.0089422
eegbci,real_left_right_fist,shallow_fbcsp,subject_disjoint,109,3,0.714666,0.696742,0.733234,0.0981072,0.00258459
eegbci,real_left_right_fist,shallow_fbcsp,trial_random,109,3,0.727987,0.710461,0.745965,0.0938403,0.0150969
eegbci,real_left_right_fist,shallow_fbcsp,within_subject,109,1,0.564674,0.546727,0.583488,0.0983839,
eegbci,real_left_right_fist,shallow_fbcsp_globalscale,run_disjoint,109,1,0.734114,0.713856,0.754504,0.107049,
eegbci,real_left_right_fist,shallow_fbcsp_globalscale,subject_disjoint,109,1,0.72646,0.703175,0.748555,0.118058,
eegbci,real_left_right_fist,shallow_fbcsp_globalscale,trial_random,109,1,0.712485,0.693202,0.731987,0.104718,
