task,clf,protocol,seed,fold,n_train,n_test,train_acc,test_acc
real_left_right_fist,lr,trial_random,20260918,trial0,3264,1633,0.970282,0.715248
real_left_right_fist,slda,trial_random,20260918,trial0,3264,1633,0.944547,0.656461
real_left_right_fist,linsvm,trial_random,20260918,trial0,3264,1633,1,0.685854
real_left_right_fist,ridge,trial_random,20260918,trial0,3264,1633,0.973039,0.654623
real_left_right_fist,knn,trial_random,20260918,trial0,3264,1633,0.717218,0.500919
real_left_right_fist,mdm,trial_random,20260918,trial0,3264,1633,0.538603,0.510716
real_left_right_fist,lr,trial_random,20260918,trial1,3265,1632,0.969372,0.710784
real_left_right_fist,slda,trial_random,20260918,trial1,3265,1632,0.938438,0.661765
real_left_right_fist,linsvm,trial_random,20260918,trial1,3265,1632,1,0.670956
real_left_right_fist,ridge,trial_random,20260918,trial1,3265,1632,0.963247,0.655025
real_left_right_fist,knn,trial_random,20260918,trial1,3265,1632,0.714548,0.490809
real_left_right_fist,mdm,trial_random,20260918,trial1,3265,1632,0.520368,0.502451
real_left_right_fist,lr,trial_random,20260918,trial2,3265,1632,0.96876,0.719975
real_left_right_fist,slda,trial_random,20260918,trial2,3265,1632,0.940582,0.672181
real_left_right_fist,linsvm,trial_random,20260918,trial2,3265,1632,1,0.679534
real_left_right_fist,ridge,trial_random,20260918,trial2,3265,1632,0.967841,0.662377
real_left_right_fist,knn,trial_random,20260918,trial2,3265,1632,0.710567,0.502451
real_left_right_fist,mdm,trial_random,20260918,trial2,3265,1632,0.517917,0.505515
real_left_right_fist,lr,trial_random,20260919,trial0,3264,1633,0.97212,0.714636
real_left_right_fist,slda,trial_random,20260919,trial0,3264,1633,0.944547,0.666871
real_left_right_fist,linsvm,trial_random,20260919,trial0,3264,1633,1,0.671157
real_left_right_fist,ridge,trial_random,20260919,trial0,3264,1633,0.968444,0.660135
real_left_right_fist,knn,trial_random,20260919,trial0,3264,1633,0.725184,0.523576
real_left_right_fist,mdm,trial_random,20260919,trial0,3264,1633,0.508885,0.491733
real_left_right_fist,lr,trial_random,20260919,trial1,3265,1632,0.974273,0.716299
real_left_right_fist,slda,trial_random,20260919,trial1,3265,1632,0.940888,0.664828
real_left_right_fist,linsvm,trial_random,20260919,trial1,3265,1632,1,0.695466
real_left_right_fist,ridge,trial_random,20260919,trial1,3265,1632,0.967228,0.65625
real_left_right_fist,knn,trial_random,20260919,trial1,3265,1632,0.719449,0.489583
real_left_right_fist,mdm,trial_random,20260919,trial1,3265,1632,0.517305,0.479779
real_left_right_fist,lr,trial_random,20260919,trial2,3265,1632,0.975191,0.730392
real_left_right_fist,slda,trial_random,20260919,trial2,3265,1632,0.939663,0.668505
real_left_right_fist,linsvm,trial_random,20260919,trial2,3265,1632,1,0.681373
real_left_right_fist,ridge,trial_random,20260919,trial2,3265,1632,0.970597,0.648284
real_left_right_fist,knn,trial_random,20260919,trial2,3265,1632,0.725881,0.492034
real_left_right_fist,mdm,trial_random,20260919,trial2,3265,1632,0.515467,0.491422
real_left_right_fist,lr,trial_random,20260920,trial0,3264,1633,0.96875,0.711574
real_left_right_fist,slda,trial_random,20260920,trial0,3264,1633,0.937194,0.691978
real_left_right_fist,linsvm,trial_random,20260920,trial0,3264,1633,1,0.68463
real_left_right_fist,ridge,trial_random,20260920,trial0,3264,1633,0.967218,0.654623
real_left_right_fist,knn,trial_random,20260920,trial0,3264,1633,0.714461,0.502143
real_left_right_fist,mdm,trial_random,20260920,trial0,3264,1633,0.517157,0.488059
real_left_right_fist,lr,trial_random,20260920,trial1,3265,1632,0.973354,0.697917
real_left_right_fist,slda,trial_random,20260920,trial1,3265,1632,0.94487,0.651961
real_left_right_fist,linsvm,trial_random,20260920,trial1,3265,1632,1,0.659314
real_left_right_fist,ridge,trial_random,20260920,trial1,3265,1632,0.966616,0.639706
real_left_right_fist,knn,trial_random,20260920,trial1,3265,1632,0.723737,0.495098
real_left_right_fist,mdm,trial_random,20260920,trial1,3265,1632,0.554671,0.512255
real_left_right_fist,lr,trial_random,20260920,trial2,3265,1632,0.969985,0.73223
real_left_right_fist,slda,trial_random,20260920,trial2,3265,1632,0.941501,0.67402
real_left_right_fist,linsvm,trial_random,20260920,trial2,3265,1632,1,0.688725
real_left_right_fist,ridge,trial_random,20260920,trial2,3265,1632,0.962021,0.654412
real_left_right_fist,knn,trial_random,20260920,trial2,3265,1632,0.728943,0.485907
real_left_right_fist,mdm,trial_random,20260920,trial2,3265,1632,0.511179,0.477941
real_left_right_fist,lr,run_disjoint,20260916,run0,3260,1637,0.969325,0.69212
real_left_right_fist,slda,run_disjoint,20260916,run0,3260,1637,0.942331,0.660965
real_left_right_fist,linsvm,run_disjoint,20260916,run0,3260,1637,1,0.659133
real_left_right_fist,ridge,run_disjoint,20260916,run0,3260,1637,0.967791,0.635919
real_left_right_fist,knn,run_disjoint,20260916,run0,3260,1637,0.738957,0.582162
real_left_right_fist,mdm,run_disjoint,20260916,run0,3260,1637,0.565644,0.549175
real_left_right_fist,lr,run_disjoint,20260916,run1,3267,1630,0.973064,0.714724
real_left_right_fist,slda,run_disjoint,20260916,run1,3267,1630,0.943067,0.688344
real_left_right_fist,linsvm,run_disjoint,20260916,run1,3267,1630,1,0.684049
real_left_right_fist,ridge,run_disjoint,20260916,run1,3267,1630,0.970615,0.674233
real_left_right_fist,knn,run_disjoint,20260916,run1,3267,1630,0.728191,0.61411
real_left_right_fist,mdm,run_disjoint,20260916,run1,3267,1630,0.583104,0.578528
real_left_right_fist,lr,run_disjoint,20260916,run2,3267,1630,0.969391,0.723926
real_left_right_fist,slda,run_disjoint,20260916,run2,3267,1630,0.94123,0.689571
real_left_right_fist,linsvm,run_disjoint,20260916,run2,3267,1630,1,0.692638
real_left_right_fist,ridge,run_disjoint,20260916,run2,3267,1630,0.965718,0.660123
real_left_right_fist,knn,run_disjoint,20260916,run2,3267,1630,0.728191,0.596319
real_left_right_fist,mdm,run_disjoint,20260916,run2,3267,1630,0.576982,0.574233
real_left_right_fist,lr,subject_disjoint,20260916,subj0,3240,1657,0.975309,0.628847
real_left_right_fist,slda,subject_disjoint,20260916,subj0,3240,1657,0.95216,0.633072
real_left_right_fist,linsvm,subject_disjoint,20260916,subj0,3240,1657,1,0.622209
real_left_right_fist,ridge,subject_disjoint,20260916,subj0,3240,1657,0.969444,0.619795
real_left_right_fist,knn,subject_disjoint,20260916,subj0,3240,1657,0.747222,0.525045
real_left_right_fist,mdm,subject_disjoint,20260916,subj0,3240,1657,0.589815,0.572722
real_left_right_fist,lr,subject_disjoint,20260916,subj1,3280,1617,0.97439,0.623995
real_left_right_fist,slda,subject_disjoint,20260916,subj1,3280,1617,0.946037,0.612245
real_left_right_fist,linsvm,subject_disjoint,20260916,subj1,3280,1617,1,0.615955
real_left_right_fist,ridge,subject_disjoint,20260916,subj1,3280,1617,0.969512,0.608534
