task,protocol,seed,fold,C,n_train,n_test,train_acc,test_acc,w_norm,n_iter
imagery_left_right_fist,subject_disjoint,20260917,subj1,1.0,3287,1611,0.953149,0.597145,22.9662,231
imagery_left_right_fist,subject_disjoint,20260917,subj1,10.0,3287,1611,0.999696,0.57604,62.9592,381
imagery_left_right_fist,subject_disjoint,20260917,subj1,100.0,3287,1611,1,0.570453,125.198,483
imagery_left_right_fist,subject_disjoint,20260917,subj1,1000.0,3287,1611,1,0.584109,233.298,209
imagery_left_right_fist,subject_disjoint,20260917,subj2,0.0001,3285,1613,0.578082,0.553627,0.0308883,10
imagery_left_right_fist,subject_disjoint,20260917,subj2,0.001,3285,1613,0.661796,0.587725,0.262668,15
imagery_left_right_fist,subject_disjoint,20260917,subj2,0.01,3285,1613,0.773212,0.603224,1.71163,33
imagery_left_right_fist,subject_disjoint,20260917,subj2,0.1,3285,1613,0.866971,0.623063,7.10574,108
imagery_left_right_fist,subject_disjoint,20260917,subj2,1.0,3285,1613,0.952207,0.606324,22.6332,284
imagery_left_right_fist,subject_disjoint,20260917,subj2,10.0,3285,1613,0.998782,0.588345,61.8398,444
imagery_left_right_fist,subject_disjoint,20260917,subj2,100.0,3285,1613,1,0.582765,124.466,519
imagery_left_right_fist,subject_disjoint,20260917,subj2,1000.0,3285,1613,1,0.595784,219.406,274
imagery_left_right_fist,subject_disjoint,20260918,subj0,0.0001,3227,1671,0.569569,0.576302,0.0293,9
imagery_left_right_fist,subject_disjoint,20260918,subj0,0.001,3227,1671,0.660056,0.606224,0.251558,11
imagery_left_right_fist,subject_disjoint,20260918,subj0,0.01,3227,1671,0.763867,0.617594,1.65519,33
imagery_left_right_fist,subject_disjoint,20260918,subj0,0.1,3227,1671,0.86489,0.61161,6.98928,89
imagery_left_right_fist,subject_disjoint,20260918,subj0,1.0,3227,1671,0.951348,0.593656,22.8181,242
imagery_left_right_fist,subject_disjoint,20260918,subj0,10.0,3227,1671,1,0.587672,62.123,392
imagery_left_right_fist,subject_disjoint,20260918,subj0,100.0,3227,1671,1,0.59246,125.08,369
imagery_left_right_fist,subject_disjoint,20260918,subj0,1000.0,3227,1671,1,0.596649,216.636,229
imagery_left_right_fist,subject_disjoint,20260918,subj1,0.0001,3288,1610,0.569039,0.552174,0.0287404,10
imagery_left_right_fist,subject_disjoint,20260918,subj1,0.001,3288,1610,0.642032,0.608075,0.24244,11
imagery_left_right_fist,subject_disjoint,20260918,subj1,0.01,3288,1610,0.760645,0.62236,1.61686,37
imagery_left_right_fist,subject_disjoint,20260918,subj1,0.1,3288,1610,0.856448,0.636025,6.98608,100
imagery_left_right_fist,subject_disjoint,20260918,subj1,1.0,3288,1610,0.945864,0.603727,22.8229,255
imagery_left_right_fist,subject_disjoint,20260918,subj1,10.0,3288,1610,0.998479,0.593789,64.7253,461
imagery_left_right_fist,subject_disjoint,20260918,subj1,100.0,3288,1610,1,0.587578,132.806,454
imagery_left_right_fist,subject_disjoint,20260918,subj1,1000.0,3288,1610,1,0.586957,247.76,284
imagery_left_right_fist,subject_disjoint,20260918,subj2,0.0001,3281,1617,0.579397,0.570192,0.0297115,10
imagery_left_right_fist,subject_disjoint,20260918,subj2,0.001,3281,1617,0.664127,0.581323,0.25429,18
imagery_left_right_fist,subject_disjoint,20260918,subj2,0.01,3281,1617,0.769582,0.604824,1.68635,41
imagery_left_right_fist,subject_disjoint,20260918,subj2,0.1,3281,1617,0.868942,0.612863,7.12098,117
imagery_left_right_fist,subject_disjoint,20260918,subj2,1.0,3281,1617,0.956721,0.596166,22.8621,273
imagery_left_right_fist,subject_disjoint,20260918,subj2,10.0,3281,1617,0.99939,0.584416,62.445,504
