task,protocol,seed,fold,metric,value,n,note
real_left_right_fist,trial_random,20260917,trial0,fraction_w_in_span_all_d_s,0.334044,109,
real_left_right_fist,trial_random,20260917,trial0,fraction_w_in_span_train_d_s,0.334044,109,
real_left_right_fist,trial_random,20260917,trial1,mean_abs_cos_w_d_s_train_subjects,0.126234,109,
real_left_right_fist,trial_random,20260917,trial1,mean_abs_cos_w_d_s_test_subjects,0.126234,109,
real_left_right_fist,trial_random,20260917,trial1,abs_cos_w_d_global,0.461359,109,
real_left_right_fist,trial_random,20260917,trial1,fraction_w_in_span_all_d_s,0.334997,109,
real_left_right_fist,trial_random,20260917,trial1,fraction_w_in_span_train_d_s,0.334997,109,
real_left_right_fist,trial_random,20260917,trial2,mean_abs_cos_w_d_s_train_subjects,0.120705,109,
real_left_right_fist,trial_random,20260917,trial2,mean_abs_cos_w_d_s_test_subjects,0.120705,109,
real_left_right_fist,trial_random,20260917,trial2,abs_cos_w_d_global,0.441635,109,
real_left_right_fist,trial_random,20260917,trial2,fraction_w_in_span_all_d_s,0.315781,109,
real_left_right_fist,trial_random,20260917,trial2,fraction_w_in_span_train_d_s,0.315781,109,
real_left_right_fist,trial_random,20260918,trial0,mean_abs_cos_w_d_s_train_subjects,0.122687,109,
real_left_right_fist,trial_random,20260918,trial0,mean_abs_cos_w_d_s_test_subjects,0.122687,109,
real_left_right_fist,trial_random,20260918,trial0,abs_cos_w_d_global,0.44762,109,
real_left_right_fist,trial_random,20260918,trial0,fraction_w_in_span_all_d_s,0.333251,109,
real_left_right_fist,trial_random,20260918,trial0,fraction_w_in_span_train_d_s,0.333251,109,
real_left_right_fist,trial_random,20260918,trial1,mean_abs_cos_w_d_s_train_subjects,0.12485,109,
real_left_right_fist,trial_random,20260918,trial1,mean_abs_cos_w_d_s_test_subjects,0.12485,109,
real_left_right_fist,trial_random,20260918,trial1,abs_cos_w_d_global,0.456732,109,
real_left_right_fist,trial_random,20260918,trial1,fraction_w_in_span_all_d_s,0.332782,109,
