task,model,k,draw,subject,n_test,accuracy
imagery_left_right_fist,csp_lda,4,2,59,15,0.533333
imagery_left_right_fist,csp_lda,8,2,59,15,0.533333
imagery_left_right_fist,csp_lda,16,2,59,15,0.533333
imagery_left_right_fist,csp_lda,30,2,59,15,0.533333
imagery_left_right_fist,csp_lda,0,0,65,15,0.466667
imagery_left_right_fist,csp_lda,4,0,65,15,0.466667
imagery_left_right_fist,csp_lda,8,0,65,15,0.466667
imagery_left_right_fist,csp_lda,16,0,65,15,0.466667
imagery_left_right_fist,csp_lda,30,0,65,15,0.466667
imagery_left_right_fist,csp_lda,4,1,65,15,0.466667
imagery_left_right_fist,csp_lda,8,1,65,15,0.466667
imagery_left_right_fist,csp_lda,16,1,65,15,0.466667
imagery_left_right_fist,csp_lda,30,1,65,15,0.466667
imagery_left_right_fist,csp_lda,4,2,65,15,0.466667
imagery_left_right_fist,csp_lda,8,2,65,15,0.466667
imagery_left_right_fist,csp_lda,16,2,65,15,0.466667
imagery_left_right_fist,csp_lda,30,2,65,15,0.466667
imagery_left_right_fist,csp_lda,0,0,66,15,0.666667
imagery_left_right_fist,csp_lda,4,0,66,15,0.666667
imagery_left_right_fist,csp_lda,8,0,66,15,0.666667
imagery_left_right_fist,csp_lda,16,0,66,15,0.6
imagery_left_right_fist,csp_lda,30,0,66,15,0.6
imagery_left_right_fist,csp_lda,4,1,66,15,0.666667
imagery_left_right_fist,csp_lda,8,1,66,15,0.6
imagery_left_right_fist,csp_lda,16,1,66,15,0.6
imagery_left_right_fist,csp_lda,30,1,66,15,0.6
imagery_left_right_fist,csp_lda,4,2,66,15,0.666667
imagery_left_right_fist,csp_lda,8,2,66,15,0.666667
imagery_left_right_fist,csp_lda,16,2,66,15,0.6
imagery_left_right_fist,csp_lda,30,2,66,15,0.6
imagery_left_right_fist,csp_lda,0,0,67,15,0.4
imagery_left_right_fist,csp_lda,4,0,67,15,0.4
imagery_left_right_fist,csp_lda,8,0,67,15,0.4
imagery_left_right_fist,csp_lda,16,0,67,15,0.4
imagery_left_right_fist,csp_lda,30,0,67,15,0.4
imagery_left_right_fist,csp_lda,4,1,67,15,0.4
imagery_left_right_fist,csp_lda,8,1,67,15,0.4
imagery_left_right_fist,csp_lda,16,1,67,15,0.4
imagery_left_right_fist,csp_lda,30,1,67,15,0.4
imagery_left_right_fist,csp_lda,4,2,67,15,0.4
imagery_left_right_fist,csp_lda,8,2,67,15,0.4
imagery_left_right_fist,csp_lda,16,2,67,15,0.4
imagery_left_right_fist,csp_lda,30,2,67,15,0.4
imagery_left_right_fist,csp_lda,0,0,68,15,0.466667
imagery_left_right_fist,csp_lda,4,0,68,15,0.466667
imagery_left_right_fist,csp_lda,8,0,68,15,0.466667
imagery_left_right_fist,csp_lda,16,0,68,15,0.466667
imagery_left_right_fist,csp_lda,30,0,68,15,0.466667
imagery_left_right_fist,csp_lda,4,1,68,15,0.466667
imagery_left_right_fist,csp_lda,8,1,68,15,0.466667
imagery_left_right_fist,csp_lda,16,1,68,15,0.466667
imagery_left_right_fist,csp_lda,30,1,68,15,0.466667
imagery_left_right_fist,csp_lda,4,2,68,15,0.466667
imagery_left_right_fist,csp_lda,8,2,68,15,0.466667
imagery_left_right_fist,csp_lda,16,2,68,15,0.466667
imagery_left_right_fist,csp_lda,30,2,68,15,0.466667
imagery_left_right_fist,csp_lda,0,0,70,15,0.866667
