dataset,task,model,protocol,seed,fold,n_train,n_test,train_acc,test_acc
eegbci,imagery_fists_feet,riemann_ts_lr,trial_random,20260917,trial2,3265,1632,0.943032,0.617034
eegbci,imagery_fists_feet,csp_lda,trial_random,20260918,trial0,3264,1633,0.591912,0.575628
eegbci,imagery_fists_feet,riemann_ts_lr,trial_random,20260918,trial0,3264,1633,0.943321,0.600122
eegbci,imagery_fists_feet,csp_lda,trial_random,20260918,trial1,3265,1632,0.56876,0.545343
eegbci,imagery_fists_feet,riemann_ts_lr,trial_random,20260918,trial1,3265,1632,0.94977,0.606618
eegbci,imagery_fists_feet,csp_lda,trial_random,20260918,trial2,3265,1632,0.581623,0.557598
eegbci,imagery_fists_feet,riemann_ts_lr,trial_random,20260918,trial2,3265,1632,0.939051,0.623162
eegbci,imagery_fists_feet,csp_lda,trial_random,20260919,trial0,3264,1633,0.58701,0.559094
eegbci,imagery_fists_feet,riemann_ts_lr,trial_random,20260919,trial0,3264,1633,0.939338,0.619106
eegbci,imagery_fists_feet,csp_lda,trial_random,20260919,trial1,3265,1632,0.592649,0.556985
eegbci,imagery_fists_feet,riemann_ts_lr,trial_random,20260919,trial1,3265,1632,0.941501,0.636642
eegbci,imagery_fists_feet,csp_lda,trial_random,20260919,trial2,3265,1632,0.567841,0.541667
eegbci,imagery_fists_feet,riemann_ts_lr,trial_random,20260919,trial2,3265,1632,0.941194,0.602941
eegbci,imagery_fists_feet,csp_lda,trial_random,20260920,trial0,3264,1633,0.56587,0.556644
eegbci,imagery_fists_feet,riemann_ts_lr,trial_random,20260920,trial0,3264,1633,0.947304,0.616044
eegbci,imagery_fists_feet,csp_lda,trial_random,20260920,trial1,3265,1632,0.58193,0.573529
eegbci,imagery_fists_feet,riemann_ts_lr,trial_random,20260920,trial1,3265,1632,0.938438,0.612745
eegbci,imagery_fists_feet,csp_lda,trial_random,20260920,trial2,3265,1632,0.580398,0.518995
eegbci,imagery_fists_feet,riemann_ts_lr,trial_random,20260920,trial2,3265,1632,0.938438,0.615809
eegbci,imagery_fists_feet,csp_lda,run_disjoint,20260916,run0,3265,1632,0.62144,0.590686
eegbci,imagery_fists_feet,riemann_ts_lr,run_disjoint,20260916,run0,3265,1632,0.935069,0.654412
eegbci,imagery_fists_feet,csp_lda,run_disjoint,20260916,run1,3265,1632,0.600306,0.5625
eegbci,imagery_fists_feet,riemann_ts_lr,run_disjoint,20260916,run1,3265,1632,0.939969,0.639706
eegbci,imagery_fists_feet,csp_lda,run_disjoint,20260916,run2,3264,1633,0.586703,0.580527
eegbci,imagery_fists_feet,riemann_ts_lr,run_disjoint,20260916,run2,3264,1633,0.940564,0.642988
eegbci,imagery_fists_feet,csp_lda,subject_disjoint,20260916,subj0,3241,1656,0.589324,0.577899
eegbci,imagery_fists_feet,riemann_ts_lr,subject_disjoint,20260916,subj0,3241,1656,0.945387,0.57971
eegbci,imagery_fists_feet,csp_lda,subject_disjoint,20260916,subj1,3280,1617,0.6,0.593074
eegbci,imagery_fists_feet,riemann_ts_lr,subject_disjoint,20260916,subj1,3280,1617,0.947561,0.562152
eegbci,imagery_fists_feet,csp_lda,subject_disjoint,20260916,subj2,3273,1624,0.612282,0.597291
eegbci,imagery_fists_feet,riemann_ts_lr,subject_disjoint,20260916,subj2,3273,1624,0.945921,0.581897
eegbci,imagery_fists_feet,csp_lda,subject_disjoint,20260917,subj0,3222,1675,0.593731,0.580896
eegbci,imagery_fists_feet,riemann_ts_lr,subject_disjoint,20260917,subj0,3222,1675,0.937616,0.560597
eegbci,imagery_fists_feet,csp_lda,subject_disjoint,20260917,subj1,3289,1608,0.602007,0.577736
eegbci,imagery_fists_feet,riemann_ts_lr,subject_disjoint,20260917,subj1,3289,1608,0.947096,0.592662
eegbci,imagery_fists_feet,csp_lda,subject_disjoint,20260917,subj2,3283,1614,0.608285,0.543371
eegbci,imagery_fists_feet,riemann_ts_lr,subject_disjoint,20260917,subj2,3283,1614,0.949741,0.586741
eegbci,imagery_fists_feet,csp_lda,subject_disjoint,20260918,subj0,3229,1668,0.589347,0.576739
eegbci,imagery_fists_feet,riemann_ts_lr,subject_disjoint,20260918,subj0,3229,1668,0.947662,0.585132
eegbci,imagery_fists_feet,csp_lda,subject_disjoint,20260918,subj1,3288,1609,0.597628,0.564326
eegbci,imagery_fists_feet,riemann_ts_lr,subject_disjoint,20260918,subj1,3288,1609,0.943735,0.59105
eegbci,imagery_fists_feet,csp_lda,subject_disjoint,20260918,subj2,3277,1620,0.597193,0.546296
eegbci,imagery_fists_feet,riemann_ts_lr,subject_disjoint,20260918,subj2,3277,1620,0.947513,0.559877
eegbci,imagery_fists_feet,csp_lda,subject_disjoint,20260919,subj0,3241,1656,0.593027,0.57971
eegbci,imagery_fists_feet,riemann_ts_lr,subject_disjoint,20260919,subj0,3241,1656,0.938291,0.606884
eegbci,imagery_fists_feet,csp_lda,subject_disjoint,20260919,subj1,3264,1633,0.587316,0.555419
eegbci,imagery_fists_feet,riemann_ts_lr,subject_disjoint,20260919,subj1,3264,1633,0.94761,0.577465
eegbci,imagery_fists_feet,csp_lda,subject_disjoint,20260919,subj2,3289,1608,0.615081,0.569652
eegbci,imagery_fists_feet,riemann_ts_lr,subject_disjoint,20260919,subj2,3289,1608,0.951353,0.569652
eegbci,imagery_fists_feet,csp_lda,subject_disjoint,20260920,subj0,3242,1655,0.602714,0.589728
eegbci,imagery_fists_feet,riemann_ts_lr,subject_disjoint,20260920,subj0,3242,1655,0.945404,0.596979
eegbci,imagery_fists_feet,csp_lda,subject_disjoint,20260920,subj1,3279,1618,0.592254,0.570457
eegbci,imagery_fists_feet,riemann_ts_lr,subject_disjoint,20260920,subj1,3279,1618,0.937786,0.589617
eegbci,imagery_fists_feet,csp_lda,subject_disjoint,20260920,subj2,3273,1624,0.593951,0.565887
