dataset,task,model,protocol,seed,subject,n_test,accuracy
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260916,5,288,0.513889
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260916,6,288,0.618056
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260916,7,288,0.611111
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260916,8,288,0.763889
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260916,9,288,0.670139
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260917,1,288,0.802083
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260917,2,288,0.541667
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260917,3,288,0.871528
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260917,4,288,0.527778
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260917,5,288,0.503472
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260917,6,288,0.545139
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260917,7,288,0.645833
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260917,8,288,0.763889
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260917,9,288,0.701389
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260918,1,288,0.815972
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260918,2,288,0.520833
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260918,3,288,0.826389
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260918,4,288,0.586806
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260918,5,288,0.510417
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260918,6,288,0.618056
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260918,7,288,0.607639
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260918,8,288,0.791667
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260918,9,288,0.631944
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260919,1,288,0.795139
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260919,2,288,0.517361
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260919,3,288,0.809028
