dataset,task,model,preproc,protocol,seed,fold,n_train,n_test,n_fit,n_val,train_acc,val_acc,test_acc,best_epoch,epochs_run,n_params
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260916,subj4,2304,288,1728,576,0.762587,0.661458,0.819444,21,27,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260917,subj0,2016,576,1440,576,0.779762,0.689236,0.703125,17,23,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260917,subj1,2016,576,1440,576,0.766865,0.677083,0.645833,9,15,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260917,subj2,2016,576,1440,576,0.844246,0.845486,0.640625,26,32,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260917,subj3,2016,576,1440,576,0.84127,0.888889,0.652778,28,34,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260917,subj4,2304,288,1728,576,0.749132,0.664931,0.875,16,22,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260918,subj0,2016,576,1440,576,0.746528,0.704861,0.703125,12,18,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260918,subj1,2016,576,1440,576,0.652282,0.559028,0.631944,5,11,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260918,subj2,2016,576,1440,576,0.760913,0.703125,0.690972,12,18,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260918,subj3,2016,576,1440,576,0.687996,0.670139,0.598958,5,11,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260918,subj4,2304,288,1728,576,0.771267,0.633681,0.715278,26,32,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,within_s1_h0,144,144,122,22,0.618056,0.681818,0.451389,1,7,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,within_s1_h1,144,144,122,22,0.493056,0.545455,0.520833,2,8,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,within_s2_h0,144,144,122,22,0.506944,0.545455,0.520833,2,8,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,within_s2_h1,144,144,122,22,0.534722,0.454545,0.493056,2,8,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,within_s3_h0,144,144,122,22,0.5625,0.5,0.506944,3,9,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,within_s3_h1,144,144,122,22,0.569444,0.5,0.597222,1,7,2450
