task,model,N,d,draw,protocol,mean_acc,n_subjects,n_trials
imagery_left_right_fist,riemann_ts_lr,18,8,8,subject_disjoint,0.50297,18,799
imagery_left_right_fist,riemann_ts_lr,18,32,8,subject_disjoint,0.547648,18,799
imagery_left_right_fist,riemann_ts_lr,18,128,8,subject_disjoint,0.53927,18,799
imagery_left_right_fist,riemann_ts_lr,18,512,8,subject_disjoint,0.524191,18,799
imagery_left_right_fist,riemann_ts_lr,18,2080,8,subject_disjoint,0.527983,18,799
imagery_left_right_fist,csp_lda,18,6,8,subject_disjoint,0.53054,18,799
imagery_left_right_fist,riemann_ts_lr,18,8,9,trial_random,0.456331,18,797
imagery_left_right_fist,riemann_ts_lr,18,32,9,trial_random,0.658175,18,797
imagery_left_right_fist,riemann_ts_lr,18,128,9,trial_random,0.695421,18,797
imagery_left_right_fist,riemann_ts_lr,18,512,9,trial_random,0.681474,18,797
imagery_left_right_fist,riemann_ts_lr,18,2080,9,trial_random,0.676479,18,797
imagery_left_right_fist,csp_lda,18,6,9,trial_random,0.57266,18,797
imagery_left_right_fist,riemann_ts_lr,18,8,9,subject_disjoint,0.499325,18,797
imagery_left_right_fist,riemann_ts_lr,18,32,9,subject_disjoint,0.66035,18,797
imagery_left_right_fist,riemann_ts_lr,18,128,9,subject_disjoint,0.636972,18,797
imagery_left_right_fist,riemann_ts_lr,18,512,9,subject_disjoint,0.628388,18,797
imagery_left_right_fist,riemann_ts_lr,18,2080,9,subject_disjoint,0.621289,18,797
imagery_left_right_fist,csp_lda,18,6,9,subject_disjoint,0.626708,18,797
imagery_left_right_fist,riemann_ts_lr,36,8,0,trial_random,0.475529,36,1608
imagery_left_right_fist,riemann_ts_lr,36,32,0,trial_random,0.448743,36,1608
imagery_left_right_fist,riemann_ts_lr,36,128,0,trial_random,0.647707,36,1608
imagery_left_right_fist,riemann_ts_lr,36,512,0,trial_random,0.662235,36,1608
imagery_left_right_fist,riemann_ts_lr,36,2080,0,trial_random,0.652006,36,1608
imagery_left_right_fist,csp_lda,36,6,0,trial_random,0.545877,36,1608
imagery_left_right_fist,riemann_ts_lr,36,8,0,subject_disjoint,0.504321,36,1608
imagery_left_right_fist,riemann_ts_lr,36,32,0,subject_disjoint,0.531459,36,1608
imagery_left_right_fist,riemann_ts_lr,36,128,0,subject_disjoint,0.571384,36,1608
imagery_left_right_fist,riemann_ts_lr,36,512,0,subject_disjoint,0.58567,36,1608
imagery_left_right_fist,riemann_ts_lr,36,2080,0,subject_disjoint,0.581592,36,1608
imagery_left_right_fist,csp_lda,36,6,0,subject_disjoint,0.555445,36,1608
imagery_left_right_fist,riemann_ts_lr,36,8,1,trial_random,0.474832,36,1620
imagery_left_right_fist,riemann_ts_lr,36,32,1,trial_random,0.467299,36,1620
imagery_left_right_fist,riemann_ts_lr,36,128,1,trial_random,0.669462,36,1620
imagery_left_right_fist,riemann_ts_lr,36,512,1,trial_random,0.654357,36,1620
imagery_left_right_fist,riemann_ts_lr,36,2080,1,trial_random,0.645086,36,1620
imagery_left_right_fist,csp_lda,36,6,1,trial_random,0.519376,36,1620
imagery_left_right_fist,riemann_ts_lr,36,8,1,subject_disjoint,0.500581,36,1620
imagery_left_right_fist,riemann_ts_lr,36,32,1,subject_disjoint,0.527858,36,1620
imagery_left_right_fist,riemann_ts_lr,36,128,1,subject_disjoint,0.585957,36,1620
imagery_left_right_fist,riemann_ts_lr,36,512,1,subject_disjoint,0.586031,36,1620
imagery_left_right_fist,riemann_ts_lr,36,2080,1,subject_disjoint,0.586797,36,1620
imagery_left_right_fist,csp_lda,36,6,1,subject_disjoint,0.56704,36,1620
imagery_left_right_fist,riemann_ts_lr,36,8,2,trial_random,0.479725,36,1639
imagery_left_right_fist,riemann_ts_lr,36,32,2,trial_random,0.468282,36,1639
imagery_left_right_fist,riemann_ts_lr,36,128,2,trial_random,0.628916,36,1639
imagery_left_right_fist,riemann_ts_lr,36,512,2,trial_random,0.621697,36,1639
imagery_left_right_fist,riemann_ts_lr,36,2080,2,trial_random,0.616031,36,1639
imagery_left_right_fist,csp_lda,36,6,2,trial_random,0.491824,36,1639
imagery_left_right_fist,riemann_ts_lr,36,8,2,subject_disjoint,0.531763,36,1639
imagery_left_right_fist,riemann_ts_lr,36,32,2,subject_disjoint,0.522444,36,1639
imagery_left_right_fist,riemann_ts_lr,36,128,2,subject_disjoint,0.551256,36,1639
imagery_left_right_fist,riemann_ts_lr,36,512,2,subject_disjoint,0.576466,36,1639
imagery_left_right_fist,riemann_ts_lr,36,2080,2,subject_disjoint,0.572056,36,1639
imagery_left_right_fist,csp_lda,36,6,2,subject_disjoint,0.537104,36,1639
imagery_left_right_fist,riemann_ts_lr,36,8,3,trial_random,0.460957,36,1614
imagery_left_right_fist,riemann_ts_lr,36,32,3,trial_random,0.451569,36,1614
imagery_left_right_fist,riemann_ts_lr,36,128,3,trial_random,0.659258,36,1614
imagery_left_right_fist,riemann_ts_lr,36,512,3,trial_random,0.66672,36,1614
imagery_left_right_fist,riemann_ts_lr,36,2080,3,trial_random,0.651691,36,1614
imagery_left_right_fist,csp_lda,36,6,3,trial_random,0.541877,36,1614
imagery_left_right_fist,riemann_ts_lr,36,8,3,subject_disjoint,0.511168,36,1614
imagery_left_right_fist,riemann_ts_lr,36,32,3,subject_disjoint,0.538314,36,1614
imagery_left_right_fist,riemann_ts_lr,36,128,3,subject_disjoint,0.595187,36,1614
imagery_left_right_fist,riemann_ts_lr,36,512,3,subject_disjoint,0.603742,36,1614
imagery_left_right_fist,riemann_ts_lr,36,2080,3,subject_disjoint,0.605607,36,1614
imagery_left_right_fist,csp_lda,36,6,3,subject_disjoint,0.588271,36,1614
imagery_left_right_fist,riemann_ts_lr,36,8,4,trial_random,0.480417,36,1624
imagery_left_right_fist,riemann_ts_lr,36,32,4,trial_random,0.470808,36,1624
imagery_left_right_fist,riemann_ts_lr,36,128,4,trial_random,0.668341,36,1624
imagery_left_right_fist,riemann_ts_lr,36,512,4,trial_random,0.662364,36,1624
imagery_left_right_fist,riemann_ts_lr,36,2080,4,trial_random,0.645853,36,1624
imagery_left_right_fist,csp_lda,36,6,4,trial_random,0.508617,36,1624
imagery_left_right_fist,riemann_ts_lr,36,8,4,subject_disjoint,0.50265,36,1624
imagery_left_right_fist,riemann_ts_lr,36,32,4,subject_disjoint,0.553759,36,1624
imagery_left_right_fist,riemann_ts_lr,36,128,4,subject_disjoint,0.586315,36,1624
imagery_left_right_fist,riemann_ts_lr,36,512,4,subject_disjoint,0.591442,36,1624
imagery_left_right_fist,riemann_ts_lr,36,2080,4,subject_disjoint,0.59378,36,1624
imagery_left_right_fist,csp_lda,36,6,4,subject_disjoint,0.577502,36,1624
imagery_left_right_fist,riemann_ts_lr,36,8,5,trial_random,0.487648,36,1615
imagery_left_right_fist,riemann_ts_lr,36,32,5,trial_random,0.496774,36,1615
imagery_left_right_fist,riemann_ts_lr,36,128,5,trial_random,0.698901,36,1615
imagery_left_right_fist,riemann_ts_lr,36,512,5,trial_random,0.671379,36,1615
imagery_left_right_fist,riemann_ts_lr,36,2080,5,trial_random,0.672664,36,1615
imagery_left_right_fist,csp_lda,36,6,5,trial_random,0.542906,36,1615
imagery_left_right_fist,riemann_ts_lr,36,8,5,subject_disjoint,0.511601,36,1615
imagery_left_right_fist,riemann_ts_lr,36,32,5,subject_disjoint,0.549284,36,1615
imagery_left_right_fist,riemann_ts_lr,36,128,5,subject_disjoint,0.635662,36,1615
imagery_left_right_fist,riemann_ts_lr,36,512,5,subject_disjoint,0.599185,36,1615
imagery_left_right_fist,riemann_ts_lr,36,2080,5,subject_disjoint,0.610477,36,1615
imagery_left_right_fist,csp_lda,36,6,5,subject_disjoint,0.550254,36,1615
imagery_left_right_fist,riemann_ts_lr,36,8,6,trial_random,0.486249,36,1623
imagery_left_right_fist,riemann_ts_lr,36,32,6,trial_random,0.467827,36,1623
imagery_left_right_fist,riemann_ts_lr,36,128,6,trial_random,0.670078,36,1623
imagery_left_right_fist,riemann_ts_lr,36,512,6,trial_random,0.655806,36,1623
imagery_left_right_fist,riemann_ts_lr,36,2080,6,trial_random,0.658979,36,1623
imagery_left_right_fist,csp_lda,36,6,6,trial_random,0.531109,36,1623
imagery_left_right_fist,riemann_ts_lr,36,8,6,subject_disjoint,0.507452,36,1623
imagery_left_right_fist,riemann_ts_lr,36,32,6,subject_disjoint,0.522826,36,1623
imagery_left_right_fist,riemann_ts_lr,36,128,6,subject_disjoint,0.600495,36,1623
imagery_left_right_fist,riemann_ts_lr,36,512,6,subject_disjoint,0.5803,36,1623
imagery_left_right_fist,riemann_ts_lr,36,2080,6,subject_disjoint,0.567105,36,1623
imagery_left_right_fist,csp_lda,36,6,6,subject_disjoint,0.588437,36,1623
imagery_left_right_fist,riemann_ts_lr,36,8,7,trial_random,0.485345,36,1626
imagery_left_right_fist,riemann_ts_lr,36,32,7,trial_random,0.473954,36,1626
imagery_left_right_fist,riemann_ts_lr,36,128,7,trial_random,0.703157,36,1626
imagery_left_right_fist,riemann_ts_lr,36,512,7,trial_random,0.687633,36,1626
imagery_left_right_fist,riemann_ts_lr,36,2080,7,trial_random,0.674364,36,1626
imagery_left_right_fist,csp_lda,36,6,7,trial_random,0.587963,36,1626
imagery_left_right_fist,riemann_ts_lr,36,8,7,subject_disjoint,0.521239,36,1626
imagery_left_right_fist,riemann_ts_lr,36,32,7,subject_disjoint,0.529851,36,1626
imagery_left_right_fist,riemann_ts_lr,36,128,7,subject_disjoint,0.614452,36,1626
imagery_left_right_fist,riemann_ts_lr,36,512,7,subject_disjoint,0.623057,36,1626
imagery_left_right_fist,riemann_ts_lr,36,2080,7,subject_disjoint,0.61322,36,1626
imagery_left_right_fist,csp_lda,36,6,7,subject_disjoint,0.596259,36,1626
